"Nimi" "Joukkue" "Syntymäpaikka" "Kansalaisuus" "Syntymäaika" "Ikä" "Pituus" "Paino" "Maila" "KK" "VVVV" "ika" "kausi"
"69" "Ikonen, Jasse" "HIFK" "Kuopio, FIN" "FIN" 1990-06-13 28 "184" "86" "L" 6 1990 25 16
"70" "Ilomäki, Arttu" "Tappara" "Tampere, FIN" "FIN" 1991-06-12 27 "182" "88" "R" 6 1991 24 16
"71" "Immonen, Jarkko" "Sport" "Kouvola, FIN" "FIN" 1984-01-18 34 "182" "90" "L" 1 1984 31 16
"72" "Jaatinen, Antti+" "Ilves" "Mikkeli, FIN" "FIN" 1986-07-24 32 "187" "86" "L" 7 1986 29 16
"73" "Jaatinen, Antti" "Lukko" "Mäntyharju, FIN" "FIN" 1987-09-24 31 "185" "91" "L" 9 1987 28 16
"74" "Jasu, Juhani" "Tappara" "Eurajoki, FIN" "FIN" 1988-01-19 30 "185" "89" "R" 1 1988 27 16
"75" "Jokela, Mikko" "KalPa" "Lappeenranta, FIN" "FIN" 1980-03-04 38 "185" "95" "R" 3 1980 35 16
"76" "Jokinen, Jaakko*" "JYP" "Jämsä, FIN" "FIN" 1993-07-17 25 "189" "90" "L" 7 1993 22 16
"77" "Jokinen, Markus" "Ilves" "Mänttä, FIN" "FIN" 1988-09-13 30 "184" "91" "L" 9 1988 27 16
"78" "Jokinen, Tommi" "SaiPa" "Siilinjärvi, FIN" "FIN" 1988-09-17 30 "184" "87" "L" 9 1988 27 16
"79" "Junnila, Jyri" "KalPa" "Raahe, FIN" "FIN" 1984-04-07 34 "173" "78" "R" 4 1984 31 16
"80" "Junttila, Julius" "Kärpät" "Oulu, FIN" "FIN" 1991-08-15 27 "178" "81" "L" 8 1991 24 16
"81" "Juutilainen, Jan-Mikael" "KooKoo" "Helsinki, FIN" "FIN" 1988-01-05 30 "181" "83" "L" 1 1988 27 16
